CPRO,CMUN,DC,NOMBRE
1,1,4,Alegria-Dulantzi
1,2,9,Amurrio
1,49,3,Añana
1,3,5,Aramaio
1,6,6,Armiñon
1,37,6,Arraia-Maeztu
1,8,8,Arrazua-Ubarrundia
1,4,0,Artziniega
1,9,1,Asparrena
1,10,5,Ayala/Aiara
1,11,2,Baños de Ebro/Mañueta
1,13,3,Barrundia
1,14,8,Berantevilla
1,16,4,Bernedo
1,17,0,Campezo/Kanpezu
1,21,0,Elburgo/Burgelu
1,22,5,Elciego
1,23,1,Elvillar/Bilar
1,46,8,Erriberagoitia/Ribera Alta
1,56,5,Harana/Valle de Arana
1,901,5,Iruña Oka/Iruña de Oca
1,27,8,Iruraiz-Gauna
1,19,9,Kripan
1,20,3,Kuartango
1,28,4,Labastida/Bastida
1,30,1,Lagran
1,31,8,Laguardia
1,32,3,Lanciego/Lantziego
1,902,0,Lantaron
1,33,9,Lapuebla de Labarca
1,36,0,Laudio/Llodio
1,58,7,Legutio
1,34,4,Leza
1,39,5,Moreda de Alava
1,41,6,Navaridas
1,42,1,Okondo
1,43,7,Oyon-Oion
1,44,2,Peñacerrada-Urizaharra
1,47,4,Ribera Baja/Erribera Beitia
1,51,3,Salvatierra/Agurain
1,52,8,Samaniego
1,53,4,San Millan/Donemiliaga
1,54,9,Urkabustaiz
1,55,2,Valdegovia/Gaubea
1,57,1,Villabuena de Alava/Eskuernaga
1,59,0,Vitoria-Gasteiz
1,60,4,Yecora/Iekora
1,61,1,Zalduondo
1,62,6,Zambrana
1,18,6,Zigoitia
1,63,2,Zuia
2,1,9,Abengibre
2,2,4,Alatoz
2,3,0,Albacete
2,4,5,Albatana
2,5,8,Alborea
2,6,1,Alcadozo
2,7,7,Alcala del Jucar
2,8,3,Alcaraz
2,9,6,Almansa
2,10,0,Alpera
2,11,7,Ayna
2,12,2,Balazote
2,14,3,"Ballestero, El"
2,13,8,Balsa de Ves
2,15,6,Barrax
2,16,9,Bienservida
2,17,5,Bogarra
2,18,1,Bonete
2,19,4,"Bonillo, El"
2,20,8,Carcelen
2,21,5,Casas de Juan Nuñez
2,22,0,Casas de Lazaro
2,23,6,Casas de Ves
2,24,1,Casas-Ibañez
2,25,4,Caudete
2,26,7,Cenizate
2,29,2,Chinchilla de Monte-Aragon
2,27,3,Corral-Rubio
2,28,9,Cotillas
2,30,6,Elche de la Sierra
2,31,3,Ferez
2,32,8,Fuensanta
2,33,4,Fuente-Alamo
2,34,9,Fuentealbilla
2,35,2,"Gineta, La"
2,36,5,Golosalvo
2,37,1,Hellin
2,38,7,"Herrera, La"
2,39,0,Higueruela
2,40,4,Hoya-Gonzalo
2,41,1,Jorquera
2,42,6,Letur
2,43,2,Lezuza
2,44,7,Lietor
2,45,0,Madrigueras
2,46,3,Mahora
2,47,9,Masegoso
2,48,5,Minaya
2,49,8,Molinicos
2,50,1,Montalvos
2,51,8,Montealegre del Castillo
2,52,3,Motilleja
2,53,9,Munera
2,54,4,Navas de Jorquera
2,55,7,Nerpio
2,56,0,Ontur
2,57,6,Ossa de Montiel
2,58,2,Paterna del Madera
2,60,9,Peñas de San Pedro
2,59,5,Peñascosa
