CCAA,Cod_CCAA,Provincia,Texto,Codigo
Pais Vasco,16,Araba,Alava,1
Castilla - La Mancha,8,Albacete,Albacete,2
Comunitat Valenciana,10,Alacant,Alicante,3
Andalucia,1,Almeria,Almeria,4
Castilla y Leon,7,Avila,Avila,5
Extremadura,11,Badajoz,Badajoz,6
Illes Balears,4,Illes Balears,Islas Baleares,7
Cataluña,9,Barcelona,Barcelona,8
Castilla y Leon,7,Burgos,Burgos,9
Extremadura,11,Caceres,Caceres,10
Andalucia,1,Cadiz,Cadiz,11
Comunitat Valenciana,10,Castello,Castellon,12
Castilla - La Mancha,8,Ciudad Real,Ciudad Real,13
Andalucia,1,Cordoba,Cordoba,14
Galicia,12,A Coruña,La Coruña,15
Castilla - La Mancha,8,Cuenca,Cuenca,16
Cataluña,9,Girona,Gerona,17
Andalucia,1,Granada,Granada,18
Castilla - La Mancha,8,Guadalajara,Guadalajara,19
Pais Vasco,16,Gipuzcoa,Guipuzcoa,20
Andalucia,1,Huelva,Huelva,21
Aragon,2,Huesca,Huesca,22
Andalucia,1,Jaen,Jaen,23
Castilla y Leon,7,Leon,Leon,24
Cataluña,9,Lleida,Lleida,25
"Rioja, La",17,La Rioja,La Rioja,26
Galicia,12,Lugo,Lugo,27
Comunidad de Madrid,13,Madrid,Madrid,28
Andalucia,1,Malaga,Malaga,29
Region de Murcia,14,Murcia,Murcia,30
Comunidad Foral de Navarra,15,Navarra,Navarra,31
Galicia,12,Ourense,Orense,32
"Asturias, Principado de",3,Asturias,Asturias,33
Castilla y Leon,7,Palencia,Palencia,34
Canarias,5,Las Palmas,Las Palmas,35
Galicia,12,Pontevedra,Pontevedra,36
Castilla y Leon,7,Salamanca,Salamanca,37
Canarias,5,Santa Cruz de Tenerife,Santa Cruz de Tenerife,38
Cantabria,6,Cantabria,Cantabria,39
Castilla y Leon,7,Segovia,Segovia,40
Andalucia,1,Sevilla,Sevilla,41
Castilla y Leon,7,Soria,Soria,42
Cataluña,9,Tarragona,Tarragona,43
Aragon,2,Teruel,Teruel,44
Castilla - La Mancha,8,Toledo,Toledo,45
Comunitat Valenciana,10,València,Valencia,46
Castilla y Leon,7,Valladolid,Valladolid,47
Pais Vasco,16,Bizkaia,Vizcaya,48
Castilla y Leon,7,Zamora,Zamora,49
Aragon,2,Zaragoza,Zaragoza,50
Ceuta,18,Ceuta,Ceuta,51
Melilla,19,Melilla,Melilla,52
